name;price;unit_price;ean;nutriscore;promo;url
Fromage assortiment raclette CARREFOUR EXTRA;10,99 €;18.32 € / KG;3560071536121;;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-assortiment-raclette-carrefour-extra-3560071536121?t=36999
Camembert di Buffala Di Bufala CARREFOUR EXTRA;4,49 €;17.96 € / KG;3560071561390;;-15% MARDI PASS;https://www.carrefour.fr/p/camembert-di-buffala-di-bufala-carrefour-extra-3560071561390?t=36999
Fromage le P'tit Rond CARREFOUR CLASSIC;1,50 €;12.00 € / KG;3560071561628;;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-le-p-tit-rond-carrefour-classic-3560071561628?t=36999
Parmigiano Reggiano râpé CARREFOUR EXTRA;3,59 €;17.95 € / KG;3560071565435;;-15% MARDI PASS;https://www.carrefour.fr/p/parmigiano-reggiano-rape-carrefour-extra-3560071565435?t=36999
Fromage En Tranches Burger SIMPL;1,29 €;6.45 € / KG;3560071568344;D;;https://www.carrefour.fr/p/fromage-en-tranches-burger-simpl-3560071568344?t=36999
Fromage Raclette A l'Aïl des Ours CARREFOUR ORIGINAL;3,69 €;14.76 € / KG;3560071571795;;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-raclette-a-l-ail-des-ours-carrefour-original-3560071571795?t=36999
Camernbert Femier FERME DE LA TREMBLAYE;5,40 €;21.60 € / KG;3565430003955;;;https://www.carrefour.fr/p/camernbert-femier-ferme-de-la-tremblaye-3565430003955?t=36999
Fromage de Vache Affiné Au Lait Cru Entier;5,29 €;17.63 € / KG;3569580000017;;;https://www.carrefour.fr/p/fromage-de-vache-affine-au-lait-cru-entier-3569580000017?t=36999
Fromage de Vache Affiné Au Lait Cru Entier;6,25 €;34.72 € / KG;3569580000024;;;https://www.carrefour.fr/p/fromage-de-vache-affine-au-lait-cru-entier-3569580000024?t=36999
Fromage de Vache Sec Au Lait Cru Entier;4,99 €;18.48 € / KG;3569580000031;;;https://www.carrefour.fr/p/fromage-de-vache-sec-au-lait-cru-entier-3569580000031?t=36999
Fromage de Vache Brique Affiné Au Lait Cru Entier;3,35 €;16.75 € / KG;3569580000048;;;https://www.carrefour.fr/p/fromage-de-vache-brique-affine-au-lait-cru-entier-3569580000048?t=36999
Fromage de Vache Au Lait Cru Entier Brique Cendré;3,35 €;16.75 € / KG;3569580000093;;;https://www.carrefour.fr/p/fromage-de-vache-au-lait-cru-entier-brique-cendre-3569580000093?t=36999
Fromage en Tranches de Vache AGOUR;4,19 €;20.95 € / KG;3575883003310;D;;https://www.carrefour.fr/p/fromage-en-tranches-de-vache-agour-3575883003310?t=36999
Fromage en Tranches de Chèvre AGOUR;5,25 €;26.25 € / KG;3575883003563;U;;https://www.carrefour.fr/p/fromage-en-tranches-de-chevre-agour-3575883003563?t=36999
Spécialité à base de soja Bio Ail Et Fines Herbes SOJABIO;2,89 €;23.12 € / KG;3576560005009;;;https://www.carrefour.fr/p/specialite-a-base-de-soja-bio-ail-et-fines-herbes-sojabio-3576560005009?t=36999
Fromage Bio à Tartiner Noix SOJABIO;2,78 €;22.24 € / KG;3576560011000;U;;https://www.carrefour.fr/p/fromage-bio-a-tartiner-noix-sojabio-3576560011000?t=36999
